,frame,cow_id,xc,yc,distance,meal,water
0,5,1,120,373,0,1,0
0,5,2,169,377,0,1,0
0,5,3,218,379,0,1,0
0,5,4,229,321,0,0,0
0,6,1,120,373,1,1,0
0,6,2,168,377,1,1,0
0,6,3,217,379,0,1,0
0,6,4,229,321,0,0,0
0,7,1,121,374,2,1,0
0,7,2,169,377,1,1,0
0,7,3,218,379,0,1,0
0,7,4,229,321,0,0,0
0,8,1,121,374,1,1,0
0,8,2,169,378,1,1,0
0,8,3,217,379,0,1,0
0,8,4,229,320,0,0,0
0,9,1,121,374,1,1,0
0,9,2,169,377,1,1,0
0,9,3,217,378,1,1,0
0,9,4,228,321,0,0,0
0,10,1,122,374,0,1,0
0,10,2,168,377,1,1,0
0,10,3,217,378,0,1,0
0,10,4,228,321,1,0,0
0,10,5,277,341,0,0,0
0,11,1,121,373,2,1,0
0,11,2,169,377,0,1,0
0,11,3,217,377,2,1,0
0,11,4,228,321,1,0,0
0,11,5,278,341,2,0,0
0,12,1,122,373,0,1,0
0,12,2,168,376,1,1,0
0,12,3,217,377,1,1,0
0,12,4,227,320,1,0,0
0,12,5,278,340,2,0,0
0,13,1,122,373,0,1,0
0,13,2,169,376,0,1,0
0,13,3,217,377,1,1,0
0,13,4,227,319,2,0,0
0,13,5,278,340,0,0,0
0,14,1,122,372,1,1,0
0,14,2,169,376,1,1,0
0,14,3,217,376,0,1,0
0,14,4,226,319,1,0,0
0,14,5,278,340,0,0,0
0,15,1,121,372,0,1,0
0,15,2,169,376,1,1,0
0,15,3,217,377,2,1,0
0,15,4,226,318,2,0,0
0,15,5,278,340,1,0,0
0,16,1,122,372,0,1,0
0,16,2,169,375,3,1,0
0,16,3,217,378,1,1,0
0,16,4,226,318,0,0,0
0,16,5,278,341,2,0,0
0,17,1,121,372,0,1,0
0,17,2,169,374,2,1,0
0,17,3,217,378,0,1,0
0,17,4,225,317,2,0,0
0,17,5,277,342,2,0,0
0,18,1,121,372,0,1,0
0,18,2,169,374,1,1,0
0,18,3,217,378,1,1,0
0,18,4,225,317,1,0,0
0,18,5,277,342,1,0,0
0,19,1,121,372,0,1,0
0,19,2,169,374,0,1,0
0,19,3,218,378,0,1,0
0,19,4,224,318,1,0,0
0,19,5,276,342,1,0,0
0,20,1,122,372,0,1,0
0,20,2,169,373,1,1,0
0,20,3,217,378,0,1,0
0,20,4,224,317,1,0,0
0,20,5,276,342,1,0,0
0,21,1,122,372,0,1,0
0,21,2,169,373,1,1,0
0,21,3,217,378,0,1,0
0,21,4,223,317,1,0,0
0,21,5,275,343,1,0,0
0,22,1,121,371,1,1,0
0,22,2,169,373,1,1,0
0,22,3,217,378,0,1,0
0,22,4,223,317,0,0,0
0,22,5,274,342,3,0,0
0,23,1,122,372,1,1,0
0,23,2,169,373,0,1,0
0,23,3,218,378,0,1,0
0,23,4,223,317,1,0,0
0,23,5,274,342,0,0,0
0,24,1,122,372,0,1,0
0,24,2,169,372,1,1,0
0,24,3,218,378,0,1,0
0,24,4,224,318,1,0,0
0,24,5,274,342,1,0,0
0,25,1,122,372,1,1,0
0,25,2,169,372,1,1,0
0,25,3,218,378,0,1,0
0,25,4,223,316,2,0,0
0,25,5,275,342,0,0,0
0,26,1,122,372,0,1,0
0,26,2,169,371,2,1,0
0,26,3,218,378,0,1,0
0,26,4,223,316,1,0,0
0,26,5,275,342,1,0,0
0,27,1,122,372,0,1,0
0,27,2,169,371,0,1,0
0,27,3,218,378,0,1,0
0,27,4,223,316,1,0,0
0,27,5,275,342,0,0,0
0,28,1,122,372,0,1,0
0,28,2,170,371,0,1,0
0,28,3,218,378,0,1,0
0,28,4,223,316,0,0,0
0,28,5,275,342,0,0,0
0,29,1,121,373,3,1,0
0,29,2,170,370,1,1,0
0,29,3,218,378,1,1,0
0,29,4,222,316,1,0,0
0,29,5,275,343,2,0,0
0,30,1,121,373,0,1,0
0,30,2,170,371,0,1,0
0,30,3,218,377,0,1,0
0,30,4,222,317,3,0,0
0,30,5,275,343,1,0,0
0,31,1,121,373,0,1,0
0,31,2,170,371,0,1,0
0,31,3,218,377,0,1,0
0,31,4,222,316,2,0,0
0,31,5,275,343,1,0,0
0,32,1,121,373,0,1,0
0,32,2,170,369,3,1,0
0,32,3,218,377,0,1,0
0,32,4,222,317,1,0,0
0,32,5,275,343,0,0,0
0,33,1,121,372,1,1,0
0,33,2,170,369,1,1,0
0,33,3,218,377,0,1,0
0,33,4,221,317,1,0,0
0,33,5,275,342,0,0,0
0,34,1,121,372,0,1,0
0,34,2,170,370,2,1,0
0,34,3,218,377,0,1,0
0,34,4,221,316,1,0,0
0,34,5,274,342,1,0,0
0,35,1,121,372,0,1,0
0,35,2,170,369,2,1,0
0,35,3,218,377,0,1,0
0,35,5,275,343,1,0,0
0,36,1,121,372,0,1,0
0,36,2,169,369,0,1,0
0,36,3,218,377,0,1,0
0,36,5,275,343,1,0,0
0,37,1,121,373,0,1,0
0,37,2,170,368,0,1,0
0,37,3,218,377,0,1,0
0,37,5,274,344,0,0,0
0,38,1,120,373,0,1,0
0,38,2,169,368,1,1,0
0,38,3,218,377,0,1,0
0,38,5,274,344,1,0,0
0,39,1,120,373,0,1,0
0,39,2,170,368,0,1,0
0,39,3,218,377,0,1,0
0,39,5,274,345,2,0,0
0,40,1,120,373,0,1,0
0,40,2,169,368,0,1,0
0,40,3,218,377,0,1,0
0,40,5,273,345,2,0,0
0,41,1,120,373,0,1,0
0,41,2,169,368,1,1,0
0,41,3,217,377,1,1,0
0,41,5,272,345,1,0,0
0,42,1,120,373,1,1,0
0,42,2,168,368,2,1,0
0,42,3,217,377,0,1,0
0,42,5,272,345,1,0,0
0,43,1,120,372,1,1,0
0,43,2,168,368,1,1,0
0,43,3,217,377,0,1,0
0,43,5,272,345,1,0,0
0,44,1,121,371,3,1,0
0,44,2,167,368,2,1,0
0,44,3,217,378,1,1,0
0,44,5,271,345,1,0,0
0,45,1,121,372,1,1,0
0,45,2,167,369,1,1,0
0,45,3,217,378,1,1,0
0,45,5,271,345,0,0,0
0,46,1,121,372,0,1,0
0,46,2,166,368,2,1,0
0,46,3,217,378,0,1,0
0,46,5,271,347,3,0,0
0,47,1,121,372,0,1,0
0,47,2,166,367,2,1,0
0,47,3,217,378,0,1,0
0,47,5,271,347,1,0,0
0,48,1,121,372,0,1,0
0,48,2,166,367,0,1,0
0,48,3,217,378,1,1,0
0,48,5,270,348,1,0,0
0,49,1,121,372,1,1,0
0,49,2,165,367,0,1,0
0,49,3,217,378,0,1,0
0,49,5,270,348,0,0,0
0,50,1,121,372,0,1,0
0,50,2,165,367,0,1,0
0,50,3,217,378,0,1,0
0,50,5,270,348,1,0,0
0,51,1,121,372,0,1,0
0,51,2,165,367,0,1,0
0,51,3,217,377,0,1,0
0,51,5,270,348,0,0,0
0,52,1,121,372,0,1,0
0,52,2,165,366,2,1,0
0,52,3,217,377,1,1,0
0,52,5,270,348,1,0,0
0,53,1,121,372,1,1,0
0,53,2,165,366,0,1,0
0,53,3,217,377,0,1,0
0,53,5,270,348,0,0,0
0,54,1,120,371,1,1,0
0,54,2,165,366,1,1,0
0,54,3,217,377,1,1,0
0,54,5,270,348,0,0,0
0,55,1,120,370,2,1,0
0,55,2,165,365,2,1,0
0,55,3,216,378,1,1,0
0,55,5,270,349,2,0,0
0,56,1,119,369,3,1,0
0,56,2,164,364,3,1,0
0,56,3,217,378,1,1,0
0,56,5,270,349,0,0,0
0,57,1,118,369,1,1,0
0,57,2,164,364,1,1,0
0,57,3,217,378,0,1,0
0,57,5,270,350,0,0,0
0,58,1,119,368,2,1,0
0,58,2,165,363,1,1,0
0,58,3,217,378,0,1,0
0,58,5,271,352,6,1,0
0,59,1,118,368,1,1,0
0,59,2,165,364,0,1,0
0,59,3,217,378,0,1,0
0,59,5,271,353,3,1,0
0,60,1,116,364,11,1,0
0,60,2,164,363,2,1,0
0,60,3,217,378,1,1,0
0,60,5,271,354,2,1,0
0,61,1,115,363,3,1,0
0,61,2,163,362,1,1,0
0,61,3,216,379,1,1,0
0,61,5,271,355,2,1,0
0,62,1,114,362,1,1,0
0,62,2,163,363,1,1,0
0,62,3,216,379,1,1,0
0,62,5,271,356,2,1,0
0,63,1,114,362,1,1,0
0,63,2,163,362,1,1,0
0,63,3,216,379,0,1,0
0,63,5,271,356,2,1,0
0,64,1,114,362,0,1,0
0,64,2,163,362,0,1,0
0,64,3,216,379,0,1,0
0,64,5,270,356,2,1,0
0,65,1,113,361,1,1,0
0,65,2,162,362,0,1,0
0,65,3,216,379,0,1,0
0,65,5,269,356,1,1,0
0,66,1,113,362,0,1,0
0,66,2,162,362,0,1,0
0,66,3,217,379,0,1,0
0,66,5,270,356,0,1,0
0,67,1,113,361,0,1,0
0,67,2,162,362,0,1,0
0,67,3,216,379,0,1,0
0,67,5,270,358,5,1,0
0,68,1,114,361,0,1,0
0,68,2,161,362,1,1,0
0,68,3,217,379,0,1,0
0,68,5,270,358,0,1,0
0,69,1,113,361,0,1,0
0,69,2,161,362,0,1,0
0,69,3,217,379,0,1,0
0,69,5,269,358,1,1,0
0,70,1,113,361,1,1,0
0,70,2,161,361,0,1,0
0,70,3,217,379,0,1,0
0,70,5,269,359,1,1,0
0,71,1,113,361,0,1,0
0,71,2,161,361,0,1,0
0,71,5,269,359,1,1,0
0,72,1,112,361,1,1,0
0,72,2,161,361,1,1,0
0,72,5,269,359,1,1,0
0,73,1,112,362,1,1,0
0,73,2,161,361,0,1,0
0,73,5,269,360,2,1,0
0,74,1,112,362,0,1,0
0,74,2,161,361,0,1,0
0,74,5,269,361,2,1,0
0,75,1,112,362,0,1,0
0,75,2,162,361,0,1,0
0,75,5,269,360,1,1,0
0,75,3,217,380,0,1,0
0,76,1,112,362,0,1,0
0,76,2,162,359,4,1,0
0,76,5,269,360,1,1,0
0,77,1,112,361,1,1,0
0,77,2,162,358,1,1,0
